Name,Day,Time,End Time,District,Location,Formatted Address,Regions,Types,Notes,Conference URL,Coordinates,Slug,Updated
5th Dimension Young People's Group of AA,Sunday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45977",5th-dimension-young-peoples-group-of-aa,2/23/2026
5th Dimension Young People's Group of AA,Monday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45977",5th-dimension-young-peoples-group-of-aa-1,2/23/2026
5th Dimension Young People's Group of AA,Tuesday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45978",5th-dimension-young-peoples-group-of-aa-2,2/23/2026
5th Dimension Young People's Group of AA,Wednesday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45979",5th-dimension-young-peoples-group-of-aa-3,2/23/2026
5th Dimension Young People's Group of AA,Thursday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45980",5th-dimension-young-peoples-group-of-aa-4,2/23/2026
5th Dimension Young People's Group of AA,Friday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45981",5th-dimension-young-peoples-group-of-aa-5,2/23/2026
5th Dimension Young People's Group of AA,Saturday,6:30 PM,7:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open",Zoom ID: 687118144  No Passcode,https://us04web.zoom.us/j/687118144,"47.73528,-122.21982,47.48215,-122.45982",5th-dimension-young-peoples-group-of-aa-6,2/23/2026
530 2 Freedom,Sunday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"47.73417,-122.22443,47.49191,-122.4597",530-2-freedom-1,2/20/2026
530 2 Freedom,Monday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,Speaker,"Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"39.91425,-104.6003,39.61443,-105.10993",530-2-freedom-2,1/25/2024
530 2 Freedom,Tuesday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"39.91425,-104.6003,39.61443,-105.10993",530-2-freedom-3,2/20/2026
530 2 Freedom,Wednesday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"39.91425,-104.6003,39.61443,-105.10993",530-2-freedom-4,1/25/2024
530 2 Freedom,Thursday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"39.91425,-104.6003,39.61443,-105.10993",530-2-freedom-5,2/23/2026
530 2 Freedom,Friday,4:30 PM,5:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 6093776070, Passcode: Daat2020",https://us04web.zoom.us/j/6093776070,"39.91425,-104.6003,39.61443,-105.10993",530-2-freedom-6,2/23/2026
AA Beginner's Path,Sunday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-1,1/14/2025
AA Beginner's Path,Monday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-2,8/17/2024
AA Beginner's Path,Tuesday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-3,2/23/2026
AA Beginner's Path,Wednesday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-4,8/17/2024
AA Beginner's Path,Thursday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-5,8/17/2024
AA Beginner's Path,Friday,5:30 PM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-6,8/17/2024
AA Beginner's Path,Saturday,5:30 AM,6:30 PM,District 25,Zoom,"Seattle, WA, USA",Seattle,"Discussion, Open","Zoom ID: 892 0285 8342, Passcode: 329599",https://us04web.zoom.us/j/89202858342,,aa-beginners-path-7,2/23/2026
